id,abbr,name
8768,Am. Samoa,High Court of American Samoa
8770,D.C. Cir.,United States Court of Appeals for the District of Columbia Circuit
8771,10th Cir.,United States Court of Appeals for the Tenth Circuit
8775,Pa. Super. Ct.,Superior Court of Pennsylvania
8778,2d Cir.,United States Court of Appeals for the Second Circuit
8791,N.Y. Sup. Ct.,New York Supreme Court
8797,N.H.,New Hampshire Supreme Court
8801,Conn. App. Ct.,Connecticut Appellate Court
8803,Conn.,Connecticut Supreme Court
8807,Ariz. Ct. App.,Arizona Court of Appeals
8808,Ark.,Arkansas Supreme Court
8809,1st Cir.,United States Court of Appeals for the First Circuit
8815,N.J.,New Jersey Court of Errors and Appeals
8820,5th Cir.,United States Court of Appeals for the Fifth Circuit
8821,8th Cir.,United States Court of Appeals for the Eighth Circuit
8826,9th Cir.,United States Court of Appeals for the Ninth Circuit
8832,Pa.,Supreme Court of Pennsylvania
8840,3d Cir.,United States Court of Appeals for the Third Circuit
8864,6th Cir.,United States Court of Appeals for the Sixth Circuit
8945,Vt.,Vermont Supreme Court
8954,4th Cir.,United States Court of Appeals for the Fourth Circuit
8955,Fed. Cir.,United States Court of Appeals for the Federal Circuit
8994,N.Y. App. Div.,"New York Supreme Court, Appellate Division"
9009,U.S.,Supreme Court of the United States
9010,7th Cir.,United States Court of Appeals for the Seventh Circuit
9031,11th Cir.,United States Court of Appeals for the Eleventh Circuit
9214,Ariz.,Arizona Supreme Court
9286,Del. Super. Ct.,Delaware Superior Court
9322,Del.,Delaware Supreme Court
9359,N.J. Super. Ct.,New Jersey Superior Court
9509,D.C. Cir.,United States Court of Appeals for the District of Columbia
9543,Me.,Maine Supreme Judicial Court
9735,Del.,Delaware Court of Errors and Appeals
9819,Ariz. Tax Ct.,Arizona Tax Court
9908,Del. Ch.,Delaware Court of Chancery
9984,Navajo,Navajo Nation Supreme Court
10010,Am. Samoa Dist. Ct.,American Samoa District Court
10179,R.I.,Supreme Court of Rhode Island
10232,R.I.,Rhode Island Supreme Court
11422,Pa. Spec. Trib.,Special Tribunal of Pennsylvania
11887,Pa. Commw. Ct.,Commonwealth Court of Pennsylvania
11933,D.C.,District of Columbia Court of Appeals
11937,Pa. Ct. Jud. Discipline,Pennsylvania Court of Judicial Discipline
13370,Ark. Ct. App.,Arkansas Court of Appeals
20106,Del. Fam. Ct.,Delaware Family Court
21604,Fort Peck Ct. App.,Fort Peck Court of Appeals
21606,Fort Peck Tribal Ct.,Fort Peck Tribal Court
21608,Colville Tribal Ct. App.,Colville Tribal Court of Appeals
21612,Tulalip Tribal Ct. App.,Tulalip Tribal Court of Appeals
21618,Ho-Chunk Nation Sup. Ct.,Ho-Chunk Nation Supreme Court
21625,Confederated Tribes Grand Ronde Tribal Ct.,Tribal Court of the Confederated Tribes of the Grand Ronde Community
21627,Cherokee Nation Sup. Ct.,Cherokee Nation Supreme Court
21643,Mohegan Gaming Disputes Trial Ct.,Mohegan Gaming Disputes Trial Court
21658,Shoshone & Arapaho Tribal Ct.,Shoshone and Arapaho Tribal Court
21672,Pa. Jud. Discipline,Court of Judicial Discipline of Pennsylvania
21714,Del. Ct. Jud.,Court on the Judiciary of Delaware
22256,Cherokee Nation Jud. App. Trib.,Cherokee Nation Judicial Appeals Tribunal
22257,Cheyenne River Sioux Tribal Ct. App.,Cheyenne River Sioux Tribal Court of Appeals
22259,Ho-Chunk Nation Trial Ct.,Ho-Chunk Nation Trial Court
22262,Hopi Tribe Ct. App.,Appellate Court of the Hopi Tribe
22264,Sac & Fox Nation Sup. Ct.,Sac and Fox Nation Supreme Court
22292,Leech Lake Band of Ojibwe Tribal Ct.,Leech Lake Band of Ojibwe Tribal Court
22295,Cherokee Indian Tribal Ct.,Cherokee Indian Tribal Court
22296,Coquille Indian Tribal Ct.,Coquille Indian Tribal Court
22297,Mohegan Gaming Disputes Ct. App.,Mohegan Gaming Disputes Court of Appeals
22298,Cherokee Sup. Ct.,Cherokee Indian Supreme Court
22299,Oneida Ct. App.,"Oneida Tribal Judicial System, Appellate Court"
22303,Mohegan Tribal Trial Ct.,Mohegan Tribal Trial Court
22305,Oneida Ct. App.,"Oneida Tribal Judicial System, Trial Court"
22309,Confederated Salish and Kootenai Tribes Ct. App.,Court of Appeals of the Confederated Salish and Kootenai Tribes
22310,Fort McDowell Yavapai Nation Sup. Ct.,Fort McDowell Yavapai Nation Supreme Court
22312,Confederated Tribes Grand Ronde Tribal Ct.,Court of Appeals of the Confederated Tribes of the Grand Ronde Community
22313,Little River Band of Ottawa Indians Tribal Ct.,Little River Band of Ottawa Indians Tribal Court
22314,Eastern Band of Cherokee Indians Cherokee Ct.,Eastern Band of Cherokee Indians Cherokee Court
22315,Eastern Band of Cherokee Indians Sup. Ct.,Eastern Band of Cherokee Indians Supreme Court
22316,Mohegan Tribal Ct. App.,Mohegan Tribal Court of Appeals
22317,Grand Traverse Band of Ottawa & Chippewa Indians Tribal App. Ct.,Grand Traverse Band of Ottawa and Chippewa Indians Tribal Appellate Court
22318,Sac & Fox Nation Dist. Ct.,Sac and Fox Nation District Court
22319,Grand Traverse Band of Ottawa & Chippewa Indians Tribal Ct.,Grand Traverse Band of Ottawa and Chippewa Indians Tribal Court
22320,Mohegan Tribe Council of Elders,Council of Elders of the Mohegan Tribe
22321,Little Traverse Bands of Odawa Indians Tribal App. Ct.,Tribal Appellate Court of the Little Traverse Bands of Odawa Indians
22322,Swinomish Tribal Ct.,Swinomish Tribal Court
22323,Little River Band of Ottawa Indians Tribal Ct. App.,Little River Band of Ottawa Indians Tribal Court of Appeals
22324,White Earth Band of Chippewa Tribal Ct.,White Earth Band of Chippewa Tribal Court
22325,Swinomish Tribal Ct. App.,Swinomish Tribal Court of Appeals
24270,Pa. Commw. Ct.,Commonwealth Court of Pennsylvania
24318,D.C.,District of Columbia Court of Appeals
25265,DC,District of Columbia Court of Appeals
25266,Md. App. Ct.,Court of Appeals of Maryland
25268,Md. App. Ct.,Court of Special Appeals of Maryland
25269,N.J. Super. App. Div.,"Superior Court of New Jersey, Appellate Division"
25276,Pa. Ct. Jud. Disc.,Court of Judicial Discipline of Pennsylvania
25317,N.J. Cty. Ct. Prob. Div.,"Superior Court of New Jersey, Chancery Division, Morris County. Probate Part"
